Nome,Apelido,Time
Mycael Pontes Moreira,Mycael,Athletico Paranaense-PR
Pablo Felipe Teixeira,Pablo,Athletico Paranaense-PR
Pedro Henrique Azevedo Pereira,Pedrinho,Time nao encontrado
Pedro Henrique Ribeiro Goncalves,Pedro Henrique,Athletico Paranaense-PR
Reinaldo Nascimento Satorno,Reinaldo,Time nao encontrado
Renan Rodrigues Fonseca Viana,Renan Viana,Athletico Paranaense-PR
Romulo Jose Cardoso da Cruz,Romulo,Athletico Paranaense-PR
Thiago Eduardo de Andrade,Thiago,Athletico Paranaense-PR
Thiago Heleno Henrique Ferreira,Thiago Heleno,Athletico Paranaense-PR
Tomas Esteban Cuello,Cuello,Athletico Paranaense-PR
Vinicius Kaue Ribeiro Ferreira,Vinícius Kauê,Athletico Paranaense-PR
Vitor Frezarin Bueno,Vitor Bueno,Athletico Paranaense-PR
Vitor Hugo Roque Ferreira,Vitor Roque,Athletico Paranaense-PR
Willian Gomes de Siqueira,Willian,Athletico Paranaense-PR
Ademir da Silva Santos Junior,Ademir,Bahia-BA
Adriel Vasconcelos Ramos,Adriel,Bahia-BA
Alex Ferreira de Souza Junior,Alex,Bahia-BA
Andre Dhominique Queiroz Santiago da Silva,André Dhominique,Bahia-BA
Arthur de Oliveira Sales,Arthur Sales,Time nao encontrado
Camilo Damian Candido Aquino,Camilo Cándido,Bahia-BA
Cauly Oliveira Souza,Cauly,Bahia-BA
Daniel Sampaio Simoes,Daniel,Fluminense-RJ
Danilo Fernandes Batista,Danilo Fernandes,Bahia-BA
David de Duarte Macedo,David Duarte,Bahia-BA
Diego Gabriel Silva Rosa,Diego Rosa,Bahia-BA
Edivan Vitor da Silva Junior,Juninho,Bahia-BA
Eric dos Santos do Carmo,Eric,Bahia-BA
Everaldo Stum,Everaldo,Bahia-BA
Everton Macedo Moraes,Everton,Londrina-PR
Francisco Vitor Silva Costa,Jacare,Bahia-BA
Gabriel Lheman Xavier,Gabriel Xavier,Bahia-BA
Gabriel Teixeira Aragao,Biel,Bahia-BA
Gilberto Moraes Junior,Gilberto,Bahia-BA
Guilherme Santos Brito,Guilherme Brito,Bahia-BA
Icaro Gabriel Oliveira Peixoto,Icaro,Bahia-BA
Jhoanner Stalin Chavez Quintero,Chavez,Time nao encontrado
João Victor Broad Moreira Guimaraes,Jota,Bahia-BA
Julio Cesar de Rezende Miranda,Rezende,Bahia-BA
Kayky da Silva Chagas,Kayky Chagas,Time nao encontrado
Kennedy Anderson Gomes Ferreira,Kennedy,Bahia-BA
Lucas Andres Mugni,Mugni,Bahia-BA
Lucas Mazdiel Aruba Santos,Aruba,Bahia-BA
Luciano Batista da Silva Junior,Luciano Juba,Bahia-BA
Marcello Gesteira de Souza,Marcello,Bahia-BA
Marcos Felipe de Freitas Monteiro,Marcos Felipe,Bahia-BA
Marcos Victor Ferreira da Silva,Marcos Victor,Bahia-BA
Mateus Eduardo Claus,Mateus Claus,Bahia-BA
Matheus Bahia Santos,Matheus Bahia,Bahia-BA
Neuciano de Jesus Gusmao,Cicinho,Bahia-BA
Nicolas Brian Acevedo Tabarez,Acevedo,Bahia-BA
Patrick Verhon Pertel Pereira,Patrick Verhon,Bahia-BA
Paulo Ganem Souto Neto,Paulo Souto,Bahia-BA
Pedro Victor da Silva Santos,Vitinho,Bahia-BA
Rafael Rogerio da Silva,Rafael Ratão,Bahia-BA
Rafael Soares de Jesus,Rafael Soares,Bahia-BA
Raul Gustavo Pereira Bicalho,Raul Gustavo,Bahia-BA
Roger Gabriel Farias de Jesus,Roger,Bahia-BA
Roger Ruan Pereira Santos,Roger Pereira,Bahia-BA
Ryan Carlos Santos de Sousa,Ryan,Bahia-BA
Sidney de Carvalho Duarte,Sidney,Bahia-BA
Thaciano Mickael da Silva,Thaciano,Bahia-BA
Tiago Gomes dos Santos,Tiago Gomes,Bahia-BA
Tiago Souza de Jesus Carvalho,Tiago,Bahia-BA
Victor Hugo Soares dos Santos,Kanu,Bahia-BA
Vinicius Alessandro Mingotti,Mingotti,Bahia-BA
Vitor Hugo Franchescoli de Souza,Vitor Hugo,Bahia-BA
Wendel Santana Franca,Wendel Canela,Bahia-BA
Yago Felipe da Costa Rocha,Yago Felipe,Bahia-BA
Adryelson Shawann Lima Silva,Adryelson,Botafogo-RJ
Bartolomeu Jacinto Quissanga,Bastos,Botafogo-RJ
Bernardo da Silva Rocha Valim,Bernardo Valim,Botafogo-RJ
Breno Washington Rodrigues da Silva,Breno,Ceará-CE
Carlos Alberto Gomes da Silva Filho,Carlos Alberto,Botafogo-RJ
Carlos Eduardo de Oliveira Alves,Carlos,Botafogo-RJ
Danilo Barbosa da Silva,Danilo,Botafogo-RJ
Danilo das Neves Pinheiro,Tche Tche,Botafogo-RJ
David Sousa Albino,David Sousa,Botafogo-RJ
Diego da Silva Costa,Diego Costa,Botafogo-RJ
Diego Manuel Hernandez Gonzalez,Diego Hernandez,Botafogo-RJ
Douglas Borges,Douglas,Guarani-SP
Dylan Antonio Talero Arredondo,Dylan,Botafogo-RJ
Eduardo Fernandes Rodrigues de Souza,Eduardo,Botafogo-RJ
Fabiano Rodrigues Pereira,Fabiano,Botafogo-RJ
Fernando Marcal de Oliveira,Marcal,Botafogo-RJ
Francisco das Chagas Soares dos Santos,Tiquinho,Botafogo-RJ
Gabriel Appelt Pires,Gabriel,Botafogo-RJ
Gabriel Toebe Studt,GABRIEL,Botafogo-RJ
Gustavo Affonso Sauerbeck,Gustavo,Time nao encontrado
Henrique Vermudt,Henrique Vermudt,Botafogo-RJ
Hugo Gonçalves Ferreira Neto,Hugo,Botafogo-RJ
Igo Gabriel Santos Pereira,Igo Gabriel,Botafogo-RJ
Jacob Christian Montes,Jacob,Botafogo-RJ
Janderson de Carvalho Costa,Janderson,Botafogo-RJ
Jefferson Maciel Bento,JEFFERSON,Botafogo-RJ
João Fernando Monteiro Siqueira,João Fernando,Botafogo-RJ
João Pedro Galvão de Carvalho,JP Galvão,Botafogo-RJ
Joao Victor Santos Sa,Joao Victor,Botafogo-RJ
Jose Antonio dos Santos Junior,Junior,Botafogo-RJ
Kauê Rodrigues Pessanha,Kauê,Botafogo-RJ
Kayke Gouvêa Queiroz,KAYKE,Botafogo-RJ
Kayque Luiz Pereira,Kayque,Time nao encontrado
Leonel Di Placido,Di Placido,Botafogo-RJ
Lucas Domingues Piazon,Lucas,Time nao encontrado
Lucas Estella Perri,Lucas Perri,Botafogo-RJ
Lucas Fernandes da Silva,Lucas,Botafogo-RJ
Lucas Fonseca Gomes Barreto,Lucas,Botafogo-RJ
Luis Geovanny Segovia Vega,Luis Segovia,Time nao encontrado
Luis Henrique Tomaz de Lima,Luis Henrique,Botafogo-RJ
Marlon Rodrigues Freitas,Marlon Freitas,Botafogo-RJ
Mateo Ponte Costa,Mateo Ponte,Botafogo-RJ
Matheus Nascimento de Paula,Matheus Nascimento,Botafogo-RJ
Matias Emanuel Segovia Torales,Matias Segovia,Botafogo-RJ
Mauro Joel Carli,Carli,Time nao encontrado
Newton Araujo da Costa Junior,Newton,Botafogo-RJ
Philipe Sampaio Azevedo,Philipe,Botafogo-RJ
Rafael Pereira da Silva,Rafael,Botafogo-RJ
Rai da Silva Pessanha,RAI,Botafogo-RJ
Ramon Vargas de Jesus Farias,Ramon,Botafogo-RJ
Rhuan Lucas Gonçalves da Costa,RHUAN,Botafogo-RJ
Roberto Junior Fernandez Torres,Gatito Fernandes,Botafogo-RJ
Valentín Nicolás Adamo Reyes,Valentín Adamo,Botafogo-RJ
Victor Leandro Cuesta,Victor Cuesta,Botafogo-RJ
Vitor Hugo Morais de Oliveira,Sapata,Botafogo-RJ
Wallison Nunes Silva,Wallison,Botafogo-RJ
Yarlen Faustino Augusto,YARLEN,Botafogo-RJ
Abimael Pereira Maia,Bolt,Corinthians-SP
Adryan Bezerra Silva,Adryan Silva,Corinthians-SP
Adson Ferreira Soares,Adson,Time nao encontrado
Aluisio Chaves Ribeiro Moraes Junior,Aluisio,Time nao encontrado
Angel Rodrigo Romero Villamayor,Angel Romero,Corinthians-SP
Arthur Sousa Araujo,ARTHUR SOUSA,Corinthians-SP
Breno de Souza Bidon,Bidon,Corinthians-SP
Bruno Mendez Cittadini,Bruno Mendez,Corinthians-SP
Carlos Gilberto do Nascimento Silva,Gil,Corinthians-SP
Carlos Miguel dos Santos Pereira,Carlos,Corinthians-SP
Cassio Ramos,Cássio,Corinthians-SP
Chrystian Amaral Barletta de Almeida,Chrystian,Ceará-CE
Eduardo Santos Queiroz,Eduardo Santos Queiroz,Time nao encontrado
Fabian Cornelio Balbuena Gonzalez,Balbuena,Time nao encontrado
Fabio Santos Romeu,Fabio Santos,Corinthians-SP
Fagner Conserva Lemos,Fagner,Corinthians-SP
Fausto Mariano Vera,Fausto,Corinthians-SP
Felipe Augusto da Silva,Felipe Augusto,Corinthians-SP
Felipe Longo Fernandes da Silva,FELIPE,Corinthians-SP
Gabriel Henrique Soares da Silva,Gabriel,Corinthians-SP
Gabriel Silva Moscardo de Salles,Moscardo,Corinthians-SP
Giovane Santana do Nascimento,Giovane Nascimento,Corinthians-SP
Giuliano Victor de Paula,Giuliano,Corinthians-SP
Guilherme Sucigan Mafra Cunha,Guilherme Biro,Corinthians-SP
Gustavo Henric da Silva,Mosquito,Corinthians-SP
Higor Augusto Farias de Oliveira,HIGOR,Corinthians-SP
Joao Pedro de Sousa Rodrigues,Joao Pedro,Corinthians-SP
Joao Victor Andrade Caetano,Caetano,Corinthians-SP
Jose Paulo Bezerra Maciel Junior,Paulinho,Corinthians-SP
Kauê Vinicius de Souza Camargo,KAUÊ C.,Corinthians-SP
Kayke Ferrari Guimaraes,Kayke,Corinthians-SP
Leonardo Mana Hernandes,Léo Mana,Corinthians-SP
Lucas Verissimo da Silva,Lucas Verissimo,Corinthians-SP
Luiz Gustavo Lemos Carvalho,Luiz Gustavo,Corinthians-SP
Matheus Correa Leite de Moraes Gonçalves,Matheus Corrêa,Corinthians-SP
Matheus de Araujo Andrade,Matheus Araujo,Corinthians-SP
Matheus Lima Beltrao Oliveira,Matheus Bidu,Corinthians-SP
Matheus Planelles Donelli,Matheus Donelli,Corinthians-SP
Matias Nicolas Rojas Romero,Matias Rojas,Corinthians-SP
Maycon de Andrade Barberan,Maycon,Corinthians-SP
Murillo Santiago Costa dos Santos,Murillo,Time nao encontrado
Pedro Henrique de Assis,Pedrinho,Corinthians-SP
Pedro Henrique Silva dos Santos,Pedrinho,Corinthians-SP
Rafael Antonio Figueiredo Ramos,Rafael Ramos,Corinthians-SP
Renato Santos da Cruz,Renato,Corinthians-SP
Renato Soares de Oliveira Augusto,Renato Augusto,Corinthians-SP
Roger Krug Guedes,Roger Guedes,Time nao encontrado
Roni Medeiros de Moura,Roni,Corinthians-SP
Ruan de Oliveira Ferreira,RUAN,Corinthians-SP
Ryan Gustavo de Lima,RYAN,Corinthians-SP
Thomas Rafael Gonçalves Lisboa,Thomas,Corinthians-SP
Victor Danilo Cantillo Jimenez,Cantillo,Corinthians-SP
Victor de Oliveira Souza Silva,Vitinho,Corinthians-SP
Vinicius Cressi,Vinicius,Corinthians-SP
Vitor Alves Meer,Vitor Meer,Corinthians-SP
Wesley Gassova Ribeiro Teixeira,Wesley,Corinthians-SP
Yuri Alberto Monteiro da Silva,Yuri Alberto,Corinthians-SP
Alef Mangueira Severino Pereira,Alef Manga,Time nao encontrado
Andreas Samaris,Samaris,Coritiba S.a.f.-PR
Andrey Ramos do Nascimento,Andrey,Coritiba S.a.f.-PR
Benjamin Kuscevic Jaramillo,BENJAMIN,Coritiba S.a.f.-PR
Bruno Gomes da Silva Clevelario,Bruno Gomes,Coritiba S.a.f.-PR
Bruno Viana Willemen da Silva,Bruno Viana,Time nao encontrado
Damian Marcelino Moreno,Marcelino Moreno,Coritiba S.a.f.-PR
Diogo Batista de Souza,Diogo Batista,Coritiba S.a.f.-PR
Diogo de Oliveira Barbosa,Diogo,Coritiba S.a.f.-PR
Eberth Araujo Nogueira,Eberth,Coritiba S.a.f.-PR
Eduardo Nascimento da Silva Junior,Edu,Coritiba S.a.f.-PR
Fransergio Rodrigues Barbosa,Fransergio,Coritiba S.a.f.-PR
Gabriel Boschilia,Gabriel,Coritiba S.a.f.-PR
Gabriel Silva Azevedo Figueredo,Gabriel Silva,Coritiba S.a.f.-PR
Gabriel Vasconcelos Ferreira,Gabriel,Coritiba S.a.f.-PR
Guilherme Aquino Vargas dos Santos,Guilherme Aquino,Coritiba S.a.f.-PR
Gustavo Vilar dos Santos,Gustavo,Maringa Futebol Clube S.a.f.-PR
Hayner Willian Monjardim Cordeiro,Hayner,Coritiba S.a.f.-PR
Henrique Adriano Buss,Henrique,Coritiba S.a.f.-PR
Igor Matheus Liziero Pereira,Liziero,Time nao encontrado
Islam Slimani,Slimani,Coritiba S.a.f.-PR
Jamerson Santos de Jesus,Jamerson,Coritiba S.a.f.-PR
Jean Gabriel Silveira,Jean Gabriel,Coritiba S.a.f.-PR
Jean Henrique Carneiro Pedroso,Jean,Coritiba S.a.f.-PR
