Nome,Apelido,Time
Everton Tiago Barella de Souza Messias,Everton,Red Bull Bragantino-SP
Fabricio Oliveira de Souza,Fabricio,Red Bull Bragantino-SP
Gabriel Caetano Godoy de Andrade,Caetano,Red Bull Bragantino-SP
Gabriel da Silva Moyses,Gabriel,Red Bull Bragantino-SP
Guilherme Lopes de Almeida,Guilherme,Red Bull Bragantino-SP
Gustavo Henrique da Silva,Gustavo Henrique,Red Bull Bragantino-SP
Gustavo Reis de Alcantara,Gustavo Reis,Red Bull Bragantino-SP
Gustavo Ribeiro Neves,Gustavinho,Red Bull Bragantino-SP
Helio Junio Nunes de Castro,Helinho,Red Bull Bragantino-SP
Henry David Mosquera Sanchez,Henry Mosquera,Red Bull Bragantino-SP
Ignacio Jesus Laquintana Marsico,Nacho Laquintana,Red Bull Bragantino-SP
Jadsom Meemyas de Oliveira da Silva,Jadsom Silva,Red Bull Bragantino-SP
Jhonny Cardinoti Pedro,Jhonny,Red Bull Bragantino-SP
João Douglas de Sousa Silva,João Douglas,Red Bull Bragantino-SP
João Luiz da Silva Cipriano,Cipriano,Red Bull Bragantino-SP
Joao Vitor Vallony da Silva,Da Silva,Red Bull Bragantino-SP
Jose Andres Hurtado Cheme,Andres Hurtado,Red Bull Bragantino-SP
Kauan Martins Chagas,Kauan,Red Bull Bragantino-SP
Kawe Ferreira Godoy Viana,Kawe,Red Bull Bragantino-SP
Kevin Joel Lomonaco,Kevin,Time nao encontrado
Leonardo Javier Realpe Montaño,Léo Realpe,Red Bull Bragantino-SP
Leonardo Rech Ortiz,Léo Ortiz,Red Bull Bragantino-SP
Luan Candido de Almeida,Luan Candido,Red Bull Bragantino-SP
Luan Patrick Wiedthauper,Luan Patrick,Red Bull Bragantino-SP
Lucas Alexandre Galdino de Azevedo,Lucão,Red Bull Bragantino-SP
Lucas de Souza Cunha,Lucas Cunha,Red Bull Bragantino-SP
Lucas Evangelista Santana de Oliveira,Evangelista,Red Bull Bragantino-SP
Lucas Rafael Gonçalves da Silva,Lucas Rafael,Red Bull Bragantino-SP
Luis Antonio da Rocha Junior,J. Capixaba,Red Bull Bragantino-SP
Marcelo Braz da Silva,Marcelo,Red Bull Bragantino-SP
Marcos Vinicios Lopes Moura,Sorriso,Red Bull Bragantino-SP
Matheus Fernandes Siqueira,Matheus Fernandes,Red Bull Bragantino-SP
Maycon Cleiton de Paula Azevedo,Maycon,Red Bull Bragantino-SP
Natan Bernardo de Souza,Natan,Time nao encontrado
Nathan Camargo dos Santos,Nathan Camargo,Red Bull Bragantino-SP
Raul Lô Gonçalves,Raul,Red Bull Bragantino-SP
Talisson de Almeida,Talisson,Red Bull Bragantino-SP
Thiago Nicolas Borbas Silva,Thiago Borbas,Red Bull Bragantino-SP
Vinicius Mendonca Pereira,Vinicinho,Red Bull Bragantino-SP
Vitor Hugo Naum dos Santos,Vitinho,Red Bull Bragantino-SP
Werik Silva Pinto,Werik Popó,Time nao encontrado
Wesley Gabriel Freire Arcanjo,Wesley,Red Bull Bragantino-SP
Yani David Quintero Rivas,Yani Quintero,Red Bull Bragantino-SP
Alex de Oliveira Nascimento,Alex,Santos-SP
Alfredo Jose Morelos Avilez,Morelos,Santos-SP
Alison Lopes Ferreira,Alison,Santos-SP
Angelo Gabriel Borges Damaceno,Ângelo,Time nao encontrado
Breno Silvano Sossai,Breno,Santos-SP
Bruno Ferreira Mombra Rosa,Bruno Mezenga,Santos-SP
Carlos Eduardo Bertolassi da Silva,Cadu Silva,Santos-SP
Daniel Felipe Ruiz Rivera,Daniel Ruiz,Time nao encontrado
Deivid Washington de Souza Eugenio,Deivid Washington,Time nao encontrado
Diogenes Vinicius da Silva,Diogenes,Santos-SP
Douglas Moreira Fagundes,Dodi,Santos-SP
Ed Carlos de Arruda Amorim,Ed Carlos,Santos-SP
Eduardo Gabriel dos Santos Bauermann,Eduardo,Time nao encontrado
Felipe Jonatan Rocha Andrade,Felipe,Santos-SP
Gabriel de Souza Inocencio,Gabriel,Santos-SP
Guilherme de Aguiar Camacho,Camacho,Santos-SP
Gustavo Nonato Santana,Nonato,Santos-SP
Ivonei Junior da Silva Rabelo,Ivonei,Botafogo-SP
Jair Paula da Cunha Filho,Jair Paula,Santos-SP
Jean Lucas de Souza Oliveira,Jean,Santos-SP
Joao Lucas de Almeida Carvalho,Joao,Santos-SP
Joao Othavio Basso,Joao,Santos-SP
Joao Paulo Silva Martins,Joao Paulo,Santos-SP
Joao Victor de Amorim Marinho,Balao,Santos-SP
Joaquim Henrique Pereira Silva,Joaquim,Santos-SP
John Steven Mendoza Valencia,Mendoza,Santos-SP
Julio Cesar Furch,Julio Furch,Santos-SP
Kevyson Costa E Silva,Kevyson,Santos-SP
Luan Dias da Silva,Luan,Santos-SP
Lucas Braga Ribeiro,Lucas,Santos-SP
Lucas Pires Silva,Lucas Pires,Time nao encontrado
Lucas Rafael Araujo Lima,Lucas Lima,Santos-SP
Luiz Felipe do Nascimento dos Santos,Luiz Felipe,Atlético-GO
Maicon Pereira Roque,Maicon,Vasco da Gama S.a.f.-RJ
Marcos Leonardo Santos Almeida,Marcos Leonardo,Santos-SP
Maximiliano Joaquin Silvera Cabo,Maximiliano,Santos-SP
Messias Rodrigues da Silva Junior,Messias,Santos-SP
Miguel Angel Terceros Acuna,Miguel,Santos-SP
Nathan Santos de Araújo,Nathan,Time nao encontrado
Paulo Mazoti Azevedo,Paulo,Santos-SP
Pedro Henrique Cunha Scaramussa,Pedro Henrique,Santos-SP
Renyer Luan de Oliveira Damasceno,Renyer,Santos-SP
Rodrigo Fernandez Cedres,Rodrigo,Santos-SP
Sandry Roberto Santos Goes,Sandry,Santos-SP
Tomás Eduardo Rincón Hernández,Tomás Rincón,Santos-SP
Uilson de Souza Paula Junior,Junior Caiçara,Santos-SP
Vinicius Balieiro Lourenco de Carvalho,Vinicius,Ituano-SP
Vladimir Orlando Cardoso de Araujo Filho,Vladimir,Santos-SP
Weslley Pinto Batista,Weslley,Santos-SP
Yeferson Julio Soteldo Martinez,Yeferson Soteldo,Santos-SP
Alan Javier Franco,Alan Franco,São Paulo-SP
Alexandre Rodrigues da Silva,Alexandre Pato,São Paulo-SP
Alisson Euler de Freitas Castro,Alisson,São Paulo-SP
Caio Fernando de Oliveira,Caio Paulista,São Paulo-SP
Caio Matheus da Silva,CAIO,São Paulo-SP
David Correa da Fonseca,David,São Paulo-SP
Diego Henrique Costa Barbosa,Diego,São Paulo-SP
Erison Danilo de Souza,Erison,São Paulo-SP
Felipe Alves Raymundo,Felipe,São Paulo-SP
Felipe Negrucci Berdague,Felipe,São Paulo-SP
Gabriel Neves Perdomo,Gabriel Neves,São Paulo-SP
Giuliano Galoppo,Galoppo,São Paulo-SP
Guilherme Batista da Silva Americo,Guilherme Batista,São Paulo-SP
Iba Ly,Iba Ly,São Paulo-SP
Igor Vinicius de Souza,Igor,São Paulo-SP
James David Rodriguez Rubio,James Rodriguez,São Paulo-SP
Jandrei Chitolina Carniel,Jandrei,São Paulo-SP
Jhegson Sebastian Mendez Carabali,Sebastian Mendez,São Paulo-SP
João Moreira Sanmartin Souza,João Moreira,São Paulo-SP
João Pedro Pantiga Gomes,João Pedro,São Paulo-SP
Jonathan Calleri,Calleri,São Paulo-SP
Juan Santos da Silva,Juan,São Paulo-SP
Leandro Mathias Silva Bueno,Leandro,São Paulo-SP
Luan Vinicius da Silva Santos,Luan Silva,São Paulo-SP
Lucas Lopes Beraldo,Beraldo,São Paulo-SP
Lucas Rodrigues Moura da Silva,Lucas,São Paulo-SP
Luciano da Rocha Neves,Luciano,São Paulo-SP
Luis Manuel Orejuela Garcia,Orejuela,Time nao encontrado
Marcio Rafael Ferreira de Souza,Rafinha,São Paulo-SP
Marcos Paulo Costa do Nascimento,Marcos Paulo,São Paulo-SP
Marques Rickelme Cabral Barbosa,Marques Rickelme,São Paulo-SP
Matheus Jose Belem de Souza,Matheus,São Paulo-SP
Michel Daryl Araujo Villar,Michel Araujo,São Paulo-SP
Nahuel Adolfo Ferraresi Hernandez,Ferraresi,São Paulo-SP
Nathan Gabriel de Souza Mendes,Nathan,São Paulo-SP
Pablo Gonçalves Maia Fortunato,Pablo,São Paulo-SP
Patryck Lanza dos Reis,Patryck,São Paulo-SP
Pedro Veronez Vilhena,Pedrinho,São Paulo-SP
Rafael Pires Monteiro,Rafael,São Paulo-SP
Rai dos Reis Ramos,Rai,São Paulo-SP
Robert Abel Arboleda Escobar,Arboleda,São Paulo-SP
Rodrigo Huendra Almeida Mendonça,RODRIGUINHO,São Paulo-SP
Rodrigo Nestor Bertalia,Rodrigo Nestor,São Paulo-SP
Ryan Francisco Rodrigues dos Santos Silva,Ryan Francisco,São Paulo-SP
Talles Macedo Toledo Costa,Talles Costa,São Paulo-SP
Talles Wander Santos Ribeiro,Talles,São Paulo-SP
Walce da Silva Costa Filho,Walce,São Paulo-SP
Welington Damascena Santos,Welington,São Paulo-SP
Wellington Soares da Silva,Wellington Rato,São Paulo-SP
William Gomes Carvalho Santos,William,São Paulo-SP
Young Navarro Moraes,Yang,São Paulo-SP
Ythallo Ryckelm Rodrigues de Oliveira,Ythallo,São Paulo-SP
Alex Teixeira Santos,Alex Teixeira,Vasco da Gama S.a.f.-RJ
Andrey Nascimento dos Santos,Andrey Santos,Time nao encontrado
Carlos Eduardo Piekny Neves,Cadu Neves,Vasco da Gama S.a.f.-RJ
Carlos Sebastian Ferreira Vidal,Sebastian Ferreira,Vasco da Gama S.a.f.-RJ
Cauã Paixão Souza,Paixão,Vasco da Gama S.a.f.-RJ
Cauan Lucas Barros da Luz,Barros,Vasco da Gama S.a.f.-RJ
Dimitri Payet,Payet,Vasco da Gama S.a.f.-RJ
Eguinaldo de Sousa Lemos,Eguinaldo,Time nao encontrado
Erick Marcus dos Santos Oliveira do Carmo,Erick Marcus,Vasco da Gama S.a.f.-RJ
Gabriel Dias de Oliveira,Gabriel Dias,Vasco da Gama S.a.f.-RJ
Gabriel Fortes Chaves,Gabriel Pec,Vasco da Gama S.a.f.-RJ
Gary Alexis Medel Soto,Medel,Vasco da Gama S.a.f.-RJ
Hedhe Halls Rocha da Silva,Halls,Vasco da Gama S.a.f.-RJ
Horacio Gabriel Carabajal,Carabajal,Time nao encontrado
Ivan Quaresma da Silva,Ivan,Vasco da Gama S.a.f.-RJ
Jair Rodrigues Junior,Jair,Vasco da Gama S.a.f.-RJ
Jefferson Junio Antonio da Silva,Jefferson Junio,Vasco da Gama S.a.f.-RJ
João Pedro Murilo de Paula Morais,João Pedro,Vasco da Gama S.a.f.-RJ
Jose Gabriel dos Santos Silva,Zé Gabriel,Vasco da Gama S.a.f.-RJ
Jose Luis Rodriguez Bebanz,Puma Rodriguez,Vasco da Gama S.a.f.-RJ
Jose Vitor Geminiano Cavalieri,Zé Vitor,Vasco da Gama S.a.f.-RJ
Leandro Viana da Silva Gama,Leandro Viana,Vasco da Gama S.a.f.-RJ
Leonardo Cesar Jardim,Leo Jardim,Vasco da Gama S.a.f.-RJ
Leonardo Gomes da Silva Jaco,Leonardo,Vasco da Gama S.a.f.-RJ
Leonardo Pinheiro da Conceicao,Léo,Vasco da Gama S.a.f.-RJ
Luca Nicolas Orellano,Orellano,Vasco da Gama S.a.f.-RJ
Lucas Eduardo de Souza Oliveira,Lucas Eduardo,Vasco da Gama S.a.f.-RJ
Lucas Figueiredo dos Santos,Figueiredo,Vasco da Gama S.a.f.-RJ
Lucas Piton Crivellaro,Lucas Piton,Vasco da Gama S.a.f.-RJ
Lyncon Correa Gonçalves,Lyncon,Vasco da Gama S.a.f.-RJ
Manuel Vicente Capasso,Capasso,Vasco da Gama S.a.f.-RJ
Marlon dos Santos Pinto,Marlon,Vasco da Gama S.a.f.-RJ
Marlon Gomes Claudino,Marlon Gomes,Vasco da Gama S.a.f.-RJ
Mateus Carvalho dos Santos,Mateus Carvalho,Vasco da Gama S.a.f.-RJ
Matheus dos Santos Miranda,Miranda,Vasco da Gama S.a.f.-RJ
Matheus Gabriel Julião Damasceno,Matheus,Vasco da Gama S.a.f.-RJ
Matias Galarza Fonda,Matias Galarza,Club Atletico Talleres-RJ
Pablo de Paula Cardoso,Pablo de Paula,Vasco da Gama S.a.f.-RJ
Pablo Ezequiel Vegetti,Vegetti,Vasco da Gama S.a.f.-RJ
Patrick de Lucca Chaves de Oliveira,de Lucca,Vasco da Gama S.a.f.-RJ
Patrick Paixão Sumas Costa,Patrick,Time nao encontrado
Paulo Henrique de Oliveira Alves,Paulo Henrique,Vasco da Gama S.a.f.-RJ
Paulo Lucas Santos de Paula,Paulinho,Vasco da Gama S.a.f.-RJ
Paulo Ricardo de Souza Babilonia,Paulinho,Vasco da Gama S.a.f.-RJ
Paulo Victor de Almeida Barbosa,Paulo Victor,Ceará-CE
Pedro Raul Garay da Silva,Pedro Raul,Time nao encontrado
Ray Breno Silva Valentim,Ray,Vasco da Gama S.a.f.-RJ
Rayan Vitor Simplício Rocha,Rayan,Vasco da Gama S.a.f.-RJ
Riquelme de Carvalho Araujo Viana,Riquelme,Vasco da Gama S.a.f.-RJ
Robson Alves de Barros,Robson,Vasco da Gama S.a.f.-RJ
Rodrigo Alves de Holanda Santos,Rodrigo,Londrina-PR
Rosicley Pereira da Silva,Rossi,Vasco da Gama S.a.f.-RJ
Rwan Philipe Rodrigues de Souza Cruz,Rwan,Time nao encontrado
Sergio Antonio da Luz Junior,Serginho,Vasco da Gama S.a.f.-RJ
Victor Araujo de Alencar Oliveira,Victor Araujo,Vasco da Gama S.a.f.-RJ
Vinicius dos Santos de Oliveira Paiva,Vinicius,Time nao encontrado
